BIBTEXKEY;NL;PL
La-vie-est-belle;Wil je weglopen van huis?; Chcesz uciec z domu?
La-vie-est-belle;Ik ben terug van weggeweest.; Wróciłem do gry. 
La-vie-est-belle;We zijn ergens op een godverlaten plek.; Jesteśmy w miejscu zapomnianym przez boga.

Liefs-uit-Londen;Ik weet van niks.; Nic nie wiem.
Liefs-uit-Londen;Ik ga, zelfs al regent het.; Idę, chociaż już pada deszcz.
Liefs-uit-Londen;Behalve hij, kwam niemand naar het feestje.; Poza nim, nikt nie przyszedł na przyjęcie.
Liefs-uit-Londen;Ik ken geen van drieën.; Nie znam nikogo z tej trójki.
Liefs-uit-Londen;Ik ken u niet.; Nie znam Pan-i/a.
Liefs-uit-Londen;Is zijn verhaal waar?; Czy jego historia jest prawdziwa?
Liefs-uit-Londen;Ik vrees van niet.; Obawiam się, że nie.
Liefs-uit-Londen;Wat ben je mooi.; Jaka jesteś piękna.
Liefs-uit-Londen;Ik wil je zoenen.; Chcę cię pocałować.
Liefs-uit-Londen;U mag nu de bruid kussen.; Możesz teraz pocałować pannę młodą.
Liefs-uit-Londen;Als je me laat spreken, dan kan ik alles uitleggen.; Jak pozwolisz mi mówić, wtedy ja mogę wszystko wyjaśnić.

Per-spoor;Ik baal ervan als je liegt.; Nienawidzę, kiedy kłamiesz.
Per-spoor;Ik kom morgenochtend langs om je op te halen.; Podjadę jutro rano, żeby cię odebrać.
Per-spoor;Waar ging je heen?; Dokąd poszedłeś?

Vijftien-miljoen-mensen;Zijn mening is waardeloos.; Jego opinia jest bezwartościowa.
Vijftien-miljoen-mensen;Ik ben al negen jaar nuchter.; Jestem trzeźwy od dziewięciu lat.
Vijftien-miljoen-mensen;We moeten wat leuks gaan doen met z'n allen.; Musimy iść wszyscy razem trochę się zabawić.
Vijftien-miljoen-mensen;Je moet er op los leven.; Musisz żyć z dnia na dzień.
Vijftien-miljoen-mensen;Alsjeblieft, breek los.; Proszę cię, wyrwij się z tego.
Vijftien-miljoen-mensen;Onze buren zijn wars van contact.; Nasi sąsiedzi są niechętni do kontaktu.
Vijftien-miljoen-mensen;Open de deur, laat me in!; Otwórz te drzwi, wpuść mnie do środka!
Vijftien-miljoen-mensen;Dat is echt iets voor hem.; To jest naprawdę coś dla niego.
Vijftien-miljoen-mensen;Piet liegt altijd over de weersvoorspellingen.; Piotruś zawsze kłamie na temat prognozy pogody.
Vijftien-miljoen-mensen;De nasiballen zijn van rijst gemaakt.; Kulki nasi są wykonane z ryżu.
Vijftien-miljoen-mensen;Iemand de wet voorschrijven.; Dowodzić kimś.
Vijftien-miljoen-mensen;Iemand in zijn waarde laten.; Akceptować kogoś jakim jest.

Duurt-te-lang;Misschien moet je de diagnose aan mij overlaten.; Być może powinieneś diagnozę pozostawić mi.
Duurt-te-lang;Hij heeft deze schade aangericht.; On wyrządził te szkody.
Duurt-te-lang;Onze kosten belopen circa 1 miljoen PLN.; Nasze koszty wynoszą około 1 milion złotych.
Duurt-te-lang;Je bent al een poos binnen.; Jesteś w środku już przez jakiś czas.
Duurt-te-lang;Beweeg je vingers langzaam op en neer.; 

Oceaan;Verrek!; O, cholera!
Oceaan;Ik begrijp niet waarom die schoenen zo'n zeer doen.; Nie rozumiem, dlaczego te buty tak bardzo bolą.
Oceaan;Je hoeft niet te komen.; Nie musisz przychodzić.
Oceaan;Ik wens om het nieuws te volgen.; Chcę prześledzić newsy. 
Oceaan;Luister, als ik sterf vannacht...; Słuchaj, jeśli umrę dziś w nocy...
Oceaan;Jullie zullen spoedig om genade smeken.; Wkrótce będziecie błagać o miłość.
Oceaan;Ik wou je geen angst aanjagen.; Nie chciałem cię przestraszyć.
Oceaan;Zouden ze al zo ver zijn?; Czy byliby tak daleko?
Oceaan;De export onder druk kwam te staan.; Eksport znalazł się pod presją.

Over-de-muur;Fiets en wandel langs kastelen en landhuizen.; Przejedź się rowerem i przejdź wzdłuż zamków i dworów.
Over-de-muur;Ze kon niet omgaan met de angst.; Nie mogła znieść strachu.
Over-de-muur;De directie heeft hem teruggefloten.; Dyrekcja postawiła go na baczność.

Belgie;Waar ga je heen?; Dokąd idziesz? 
Belgie;Gaan we nu eng doen? - Ben je bang voor me?; Czy będziemy teraz przerażający? - Boisz się mnie?
Belgie;-Hoe gaat het? -Het gaat goed.; -Jak się miewasz? -Dobrze idzie.
Belgie;Ik krijg wat ik wil.; Dostaję to, czego chcę.
Belgie;Ik ben nog steeds in dubio er over.; Nadal mam co do tego wątpliwości.
Belgie;Geen enkel boek is het lezen waard.; Żadna książka nie jest warta przeczytania.
 
