"BIBTEXKEY"; "CHAPTERKEY"; "CATEGORY"; "AUTHOR"; "ARTIST"; "TITLE"; "TITLE.PL"; "YEAR"; "NOTE"; "URL"
Leef;Klasyka;Manual;Edwin van Hoevelaak and Koen Jansen and Chiel Ottink and Arno Krabman;André Hazes jr.;Leef;Żyj;2015; to piosenka o życiu i umieraniu. Rozpoczyna się w scenerii podobnej do tej z piosenki \@ref(Een-beetje-verliefd) wykonanej przez ojca André Hazes;https://youtu.be/2H0yWKdZM8g

Liefs-uit-Londen;Klasyka;Manual;Peter Slager and Bas Kennis;"BL&Oslash;F";Liefs uit Londen;Kocham z Londynu;1998;"to pierwszy z hitów grupy BL&Oslash;F, którego tekst był zainspirowany grą planszową 'Podróż dookoła świata'";https://youtu.be/aM5JU0juOSs

Mag-ik-dan-bij-jou;Klasyka;Manual;Claudia de Breij;Claudia de Breij;Mag ik dan bij jou;Czy będę mogła przy tobie?;2009;to wyznanie miłosne wypełnione przypuszczeniami;https://youtu.be/o5uvsEs79hM

Nacht;Klasyka;Manual;Guus Meeuwis and Kraantje Pappie;Guus Meeuwis & Kraantje Pappie;Nacht;Noc;2020;to nowa wersja 25-letniego utworu "Het is een nacht" \@ref(Het-is-een-nacht);https://youtu.be/MxkdVogPeF0

Oceaan;Klasyka;Manual;Racoon;Racoon;Oceaan;Ocean;2012;to ich pierwsza piosenka w języku niderlandzkim;https://youtu.be/-OKB7wd7ems

O-o-Den-Haag;Klasyka;Manual;Harrie Jekkers;Harry Klorkestein;O, o, Den Haag;Oj, oj, Haga;1982;to piosenka uznawana za nieoficjalny hymn Hagi. Nazwa wykonawcy to anagram nazwy prawdziwego zespołu Klein Orkest;https://youtu.be/ptGJ8wzeGDE

Over-de-muur;Klasyka;Manual;Harrie Jekkers;Klein Orkest;Over de muur;Ponad murem;1984;to holenderski poprzednik polskiej "Arahji" Kultu. "Mój dom murem podzielony" to jakby nie było "Mijn huis door een muur gescheiden";https://youtu.be/rAR6XKHfXY0

Papa;Do-rozanca;Manual;Stef Bos;Stef Bos;Papa;Tato;1991; to wyznanie skierowane do ojca Bosa u którego zdiagnozowano raka. Leczenie "Taty" się powiodło, zmarł przeżywszy jeszcze 23 lata;https://youtu.be/ptGJ8wzeGDE

Pastorale;Klasyka;Manual;Lennaert Nijgh and Boudewijn de Groot;Ramses Shaffy & Liesbeth List;Pastorale;Pastorałka;1969;to psychodeliczna rozmowa ziemskiego dziecka z potężnym słońcem ;https://youtu.be/x5cntzEZo1w

Per-spoor;Klasyka;Manual;Guus Meeuwis;Guus Meeuwis & Vagant;Per spoor (Kedeng kedeng);Koleją (Bang bang);1996;to zapis z podróży pociągiem do dziewczyny.;https://youtu.be/lSxh-UK7Ays

Zing-vecht-huil-bid-lach-werk-en-bewonder;Klasyka;Manual;Ramses Shaffy;Ramses Shaffy;Zing, Vecht, Huil, Bid, Lach, Werk en Bewonder;Śpiewaj, Walcz, Płacz, Módl Się, Śmiej Się, Pracuj i Podziwiaj;1971;napisał i wykonał syn polskiej hrabiny Alexandry de Wysocka ;https://youtu.be/xg07TjHOlUM

Belgie;Klasyka;Manual;Henk Westbroek;Het Goede Doel;België (Is er leven op Pluto...?);Belgia (Czy na Plutonie jest życie ...?);1982;to chyba jedyna piosenka, w której pojawia się Polska;https://youtu.be/jwucIydijEo

Afscheid-nemen-bestaat-niet;Do-rozanca;Manual;John Ewbank and Han Kooreneef;Marco Borsato;Afscheid nemen bestaat niet;Żegnamy się, nie istnieje;2003;to najpopularniejsza niderlandzkojęzyczna piosenka na pogrzebach;https://youtu.be/lSo6LyEA1ks

Alles-kan-een-mens-gelukkig-maken;Klasyka;Manual;Henk Westbroek and Henk Temming;Het Goede Doel & René Froger;Alles kan een mens gelukkig maken;Wszystko może uszczęśliwić człowieka;1988;to utwór znany również pod tytułem 'Een eigen huis';https://youtu.be/EstXeHNJD7c

Links-en-rechts;Do-tanca;Manual;Nick Schilder;Nick & Simon;Links en rechts;W lewo i w prawo;2007; "NOTE";https://youtu.be/miac8oRrEcI

Het-regent-zonnestralen;Klasyka;Manual;Thomas Acda and Paul de Munnik;Acda & De Munnik;Het regent zonnestralen;Pada promieniami słonecznymi;1998; "NOTE";https://youtu.be/dZkbhA1NcTM

Zoutelande;Klasyka;Manual;Axel Bosse and Peter Slager;"BL&Oslash;F & Geike Arnaert";Zoutelande;Zoutelande;2017;to niderlandzkojęzyczny cover piosenki 'Frankfurt Oder' niemieckiej pary Axel Bosse & Anna Loos;https://youtu.be/N0OLEgc-Glk

Suzanne;Do-tanca;Manual;Ferdi Lancee;VOF de Kunst;Suzanne;Suzanne;1983;to piosenka z największą liczbą coverów wykonanych w innych językach. Michał Wiśniewski napisał swoje polskie słowa do jego piosenki Zuzanna, jakby dość odległe od oryginału;https://youtu.be/jgiPEsgkhKk

Dat-komt-door-jou;Klasyka;Manual;Guus Meeuwis and Leo Driessen and Lorenzo Cherubini and Franco Santarnecchi;Guus Meeuwis;Dat komt door jou;Dat komt door jou;2009; "NOTE";https://youtu.be/fl3epWazJxs
Dochters;Klasyka;Manual;John Ewbank;Marco Borsato;Dochters;Córki;2008;mają tekst niezwykle podobny do Butterfly Kisses Boba Carlisle'a z 1997 roku;https://youtu.be/7azASBMAkOU

T-smidje;Do-tanca;Manual;Trad.;"La&iuml;s";'t Smidje;Młody kowal;nieznane;"to stara flamandzka piosenka, która stała się popularna w 1998 roku w Hiszpanii i Polsce dzięki grupie La&iuml;s. Pisownia z 1848 roku";https://youtu.be/mJ6vmtFBlWY

Testament;Klasyka;Manual;Lennaert Nijgh;Boudewijn de Groot;Testament;Testament;1967;"NOTE";https://youtu.be/26bMxDiMFQc

De-weg;Do-rozanca;Manual;Herbert Grönemeyer;Guus Meeuwis;De weg;Droga;2002;to luźny cover piosenki 'Der weg' niemieckiego piosenkarza Herberta Grönemeyera;https://youtu.be/vuGcIfMq65A

Zeg-me-dat-het-niet-zo-is;Klasyka;Manual;Frank Boeijen;Frank Boeijen Groep;Zeg me dat het niet zo is;Powiedz, że to nie jest tak;1990;stała się popularna jedynie dzięki innym wykonawcom;https://youtu.be/BKiwbpRvh84

Als-ze-er-niet-is;Klasyka;Manual;Huub van der Lubbe and Hans van der Lubbe;De Dijk;Als ze er niet is;Kiedy jej nie ma;1994; ...;https://youtu.be/vn_pUxADmoY

#November;Klasyka;Manual;Jack Poels;Rowwen Hèze;November;Listopad;2000;jest oparty na starej irlandzkiej pieśni ludowej: On Raglan Road. Tekst napisano w dialekcie Horsters, jednym z używanych w prowincji Limburg;https://youtu.be/TFqv6O8onkE

Ben-ik-te-min;Klasyka;Manual;Herman van Loenhout;Armand;Ben ik te min;Nie jestem godny;1966; "NOTE";https://youtu.be/1PA5S1LyXQI

Zij-gelooft-in-mij;Klasyka;Manual;André Hazes and Steve Gibb;André Hazes;Zij gelooft in mij;Ona wierzy we mnie;1981;to cover piosenki She believes wykonanej przez Kenny Rogersa;https://youtu.be/VAc9opfAEYQ
